[-9.091206133065744e-06, array([8.43044896e-06]), array([1.15384445e-05])]
[-9.128957217625379e-06, array([8.44037648e-06]), array([1.15750006e-05])]
[-9.185339036815321e-06, array([8.45226576e-06]), array([1.15826223e-05])]
[-9.221262436230034e-06, array([8.45464728e-06]), array([1.16307559e-05])]
[-9.221836450814942e-06, array([8.51463848e-06]), array([1.17513027e-05])]
[-9.222154728215672e-06, array([8.55466828e-06]), array([1.17728534e-05])]
[-9.2602122125957e-06, array([8.60240966e-06]), array([1.17866387e-05])]
[-9.305593391651333e-06, array([8.65933828e-06]), array([1.18030768e-05])]
[-9.356011175980792e-06, array([8.72258509e-06]), array([1.18410825e-05])]
[-9.402696872092181e-06, array([8.72767824e-06]), array([1.1881561e-05])]
[-9.445639584390805e-06, array([8.72942766e-06]), array([1.18854563e-05])]
[-9.472873166616258e-06, array([8.78512228e-06]), array([1.18905311e-05])]
[-9.50106946584136e-06, array([8.84278574e-06]), array([1.19422422e-05])]
[-9.5221431140156e-06, array([8.87669906e-06]), array([1.19887833e-05])]
[-9.540721027680572e-06, array([8.89444941e-06]), array([1.20298126e-05])]
[-9.599651146983076e-06, array([8.90900407e-06]), array([1.20424381e-05])]
[-9.636597840445542e-06, array([8.96712125e-06]), array([1.20503538e-05])]
[-9.667829128586254e-06, array([9.05964455e-06]), array([1.20629556e-05])]
[-9.697997343636599e-06, array([9.07640363e-06]), array([1.20759192e-05])]
[-9.719756321429867e-06, array([9.0884912e-06]), array([1.20852693e-05])]
[-9.733407718468304e-06, array([9.1031275e-06]), array([1.20965909e-05])]
[-9.748812621823375e-06, array([9.11153246e-06]), array([1.21120528e-05])]
[-9.782073153442033e-06, array([9.12368346e-06]), array([1.2134406e-05])]
[-9.803601701378183e-06, array([9.13154845e-06]), array([1.21488745e-05])]
[-9.844147347175176e-06, array([9.1556042e-06]), array([1.21891408e-05])]
[-9.911287969912112e-06, array([9.15893188e-06]), array([1.22558188e-05])]
[-9.9574699401546e-06, array([9.15999222e-06]), array([1.22822469e-05])]
[-1.0024111056638445e-05, array([9.16152232e-06]), array([1.23356005e-05])]
[-1.0063428983783031e-05, array([9.16606273e-06]), array([1.23700069e-05])]
[-1.0076529778897055e-05, array([9.20541393e-06]), array([1.23814712e-05])]
[-1.011982873766159e-05, array([9.23767947e-06]), array([1.23908711e-05])]
[-1.0169092119463691e-05, array([9.2381251e-06]), array([1.2401566e-05])]
[-1.0183752782910963e-05, array([9.24636012e-06]), array([1.24612422e-05])]
[-1.02128900506582e-05, array([9.29581581e-06]), array([1.25178365e-05])]
[-1.0232858655169924e-05, array([9.31208799e-06]), array([1.25776619e-05])]
[-1.0274630576764316e-05, array([9.34612744e-06]), array([1.27028095e-05])]
[-1.0291285136204953e-05, array([9.37257758e-06]), array([1.2774097e-05])]
[-1.031223186214694e-05, array([9.40584437e-06]), array([1.28180187e-05])]
[-1.0332567897771583e-05, array([9.43814129e-06]), array([1.28787277e-05])]
[-1.0357885372195916e-05, array([9.47834953e-06]), array([1.29543079e-05])]
[-1.0386875353568302e-05, array([9.52439032e-06]), array([1.29986303e-05])]
[-1.0441762827167087e-05, array([9.5752336e-06]), array([1.30475759e-05])]
[-1.0505715197914216e-05, array([9.59972088e-06]), array([1.31046051e-05])]
[-1.0541572195756577e-05, array([9.64484564e-06]), array([1.31365804e-05])]
[-1.058600541944819e-05, array([9.69349891e-06]), array([1.3171056e-05])]
[-1.0644278190561378e-05, array([9.74069592e-06]), array([1.32086961e-05])]
[-1.0657176183277494e-05, array([9.77308376e-06]), array([1.32345258e-05])]
[-1.070518034784989e-05, array([9.85786288e-06]), array([1.3302138e-05])]
[-1.0722260535739994e-05, array([9.88802783e-06]), array([1.33570944e-05])]
[-1.0774686293885566e-05, array([9.96766409e-06]), array([1.35021808e-05])]
[-1.0792769613576723e-05, array([9.99513319e-06]), array([1.35522258e-05])]
[-1.0866456359001533e-05, array([1.00091358e-05]), array([1.36076478e-05])]
[-1.0893905611818248e-05, array([1.00587735e-05]), array([1.36282932e-05])]
[-1.091202240433285e-05, array([1.00915348e-05]), array([1.36361547e-05])]
[-1.0946498399164296e-05, array([1.01538792e-05]), array([1.3651115e-05])]
[-1.0955835527689525e-05, array([1.02094745e-05]), array([1.3657071e-05])]
[-1.101709092430018e-05, array([1.0309995e-05]), array([1.366784e-05])]
[-1.1039671850400751e-05, array([1.03470504e-05]), array([1.36868349e-05])]
[-1.1089914290775669e-05, array([1.040262e-05]), array([1.37073189e-05])]
[-1.112988419477248e-05, array([1.04468278e-05]), array([1.37236147e-05])]
